Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.07% of 14.09 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   14.09                 main [1]
                2.02   10.69   50000/50000       compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
                0.00    0.54       1/1           init_velocities(System&, double, double) [5]
                0.00    0.34       1/1           setup_atoms(System&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, double, double, double) [7]
                0.08    0.13   50000/50000       move(System&, double) [19]
                0.06    0.08   50000/50000       update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double) [20]
                0.01    0.09   50000/50001       scale_velocities(System&, double, double) [21]
                0.00    0.04  100000/100000      std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [29]
                0.02    0.00  100001/100008      std::vector<double, std::allocator<double> >::~vector() [32]
                0.00    0.00       1/1           System::~System() [33]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [36]
                0.00    0.00      20/128125423     std::vector<double, std::allocator<double> >::operator[](unsigned long) [18]
                0.00    0.00  100001/100008      std::allocator<double>::allocator() [62]
                0.00    0.00  100001/200009      std::allocator<double>::~allocator() [50]
                0.00    0.00  100000/100000      std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) [84]
                0.00    0.00      13/13          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [126]
                0.00    0.00      13/13          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [127]
                0.00    0.00      10/10          std::__cxx11::stod(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*) [142]
                0.00    0.00       7/7           std::vector<double, std::allocator<double> >::vector() [148]
                0.00    0.00       2/3           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const [152]
-----------------------------------------------
                2.02   10.69   50000/50000       main [1]
[2]     90.2    2.02   10.69   50000         compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
                6.15    4.50 812800000/812800000     min_image_distance(System const&, int, int, double&, double&, double, double) [3]
                0.00    0.04  100000/100000      std::vector<double, std::allocator<double> >::assign(unsigned long, double const&) [31]
                0.00    0.00  121784/128125423     std::vector<double, std::allocator<double> >::operator[](unsigned long) [18]
-----------------------------------------------
                6.15    4.50 812800000/812800000     compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
[3]     75.7    6.15    4.50 812800000         min_image_distance(System const&, int, int, double&, double&, double, double) [3]
                4.50    0.00 3251200000/3289600512     std::vector<double, std::allocator<double> >::operator[](unsigned long) const [4]
-----------------------------------------------
